,Name,Company,Praise Level,Comment Number,Language,Price,Issue time,System Require,Game Tags
10,Imperator: Rome,Paradox Development Studio,,No user reviews,"Strategy, Simulation, Grand Strategy, Political, Rome, Multiplayer, Historical, Economy, Singleplayer, Politics, Management, Memes, Choices Matter, City Builder, Story Rich, Multiple Endings, Casual, Destruction", 116,"26 Apr, 2019","Requires a 64-bit processor and operating system,  Windows® 7 Home Premium 64 bit SP1,  Intel® iCore™ i3-550 or AMD® Phenom II X6 1055T,  4 GB RAM,  Nvidia® GeForce™ GTX 460 or AMD® Radeon™ HD 6970","Strategy, Simulation, Grand Strategy, Political, Rome, Multiplayer, Historical, Economy, Singleplayer, Politics, Management, Memes, Choices Matter, City Builder, Story Rich, Multiple Endings, Casual, Destruction"
11,"""Tom Clancys Rainbow Six® Siege""",Ubisoft Montreal,Very Positive,"243,113","FPS, Multiplayer, Tactical, Shooter, Action, Team-Based, First-Person, Strategy, Co-op, Realistic, Competitive, Online Co-Op, Destruction, Atmospheric, Physics, Singleplayer, Massively Multiplayer, Simulation, Casual, Psychological Horror", 88,"2 Dec, 2015"," Windows 7, Windows 8.1, Windows 10 (64bit versions required),  Intel Core i3 560 @ 3.3 GHz or AMD Phenom II X4 945 @ 3.0 GHz,  6 GB RAM,  NVIDIA GeForce GTX 460 or AMD Radeon HD 5870 (DirectX-11 compliant with 1GB of VRAM),  Broadband Internet connection,  61 GB available space,  DirectX® 9.0c compatible sound card with latest drivers,  SUPPORTED VIDEO CARDS AT TIME OF RELEASE:  GeForce GTX 460 or better, GTX 560 or better, GTX 650 or better, GTX 750 or better, or any card from the GT900 and Titan Series, Radeon HD5870 or better, HD6870 or better, HD7770 or better, R7 260X or better, or any card from the R-300 series and Fury X. Laptop models of these cards may work but are not supported. These chipsets are the only ones that will run this game. Additional chipsets may be supported after release. For an up-to-date list of supported chipsets, please visit the FAQ for this game on our support website: , . Game contains FairFight ,  and BattleEye ,  anti-cheat technology.","FPS, Multiplayer, Tactical, Shooter, Action, Team-Based, First-Person, Strategy, Co-op, Realistic, Competitive, Online Co-Op, Destruction, Atmospheric, Physics, Singleplayer, Massively Multiplayer, Simulation, Casual, Psychological Horror"
12,World of Warships,Wargaming Group Limited,Mostly Positive,"12,756","Free to Play, Naval, World War II, Multiplayer, PvP, Massively Multiplayer, Action, Strategy, Online Co-Op, Simulation, Shooter, Team-Based, Tactical, War, Realistic, Military, Anime, Co-op, World War I, PvE",Free to Play,"15 Nov, 2017","Requires a 64-bit processor and operating system,  Windows 7 x64 SP1,  Core2Duo 2.7 GHz, AMD Athlon II 3 GHz,  4 GB RAM,  nVidia GeForce 8800GT/9600GT, NVIDIA GeForce 620M, AMD Radeon HD 4650,  Version 9.0c,  Broadband Internet connection,  42 GB available space,  Compatible with DirectX 9.0c","Free to Play, Naval, World War II, Multiplayer, PvP, Massively Multiplayer, Action, Strategy, Online Co-Op, Simulation, Shooter, Team-Based, Tactical, War, Realistic, Military, Anime, Co-op, World War I, PvE"
13,ARK: Survival Evolved,Studio Wildcard,,"167,703","Survival, Open World, Multiplayer, Dinosaurs, Crafting, Building, Adventure, Base Building, Co-op, Action, First-Person, Early Access, Sandbox, Massively Multiplayer, Singleplayer, Dragons, RPG, Sci-fi, MMORPG, Indie", 119,"28 Aug, 2017"," Windows 7/8.1/10 (64-bit versions),  Intel Core i5-2400/AMD FX-8320 or better,  8 GB RAM,  NVIDIA GTX 670 2GB/AMD Radeon HD 7870 2GB or better,  Version 10,  60 GB available space,  Requires broadband internet connection for multiplayer","Survival, Open World, Multiplayer, Dinosaurs, Crafting, Building, Adventure, Base Building, Co-op, Action, First-Person, Early Access, Sandbox, Massively Multiplayer, Singleplayer, Dragons, RPG, Sci-fi, MMORPG, Indie"
14,Ring of Elysium,Aurora Studio,Mostly Positive,"52,761","Early Access, Free to Play, Battle Royale, Shooter, Multiplayer, Survival, Massively Multiplayer, Action, Third-Person Shooter, Open World, Early Access, FPS, Co-op, PvP, First-Person, Tactical, Violent, Sandbox, Destruction, Gore",Free To Play,"19 Sep, 2018"," Windows 7, Windows 8.1, Windows 10,  Intel i3 8130U(2Cores, 2.3GHz) or equivalent,  4 GB RAM,  NVIDIA GeForce GT 730 or equivalent,  Broadband Internet connection,  10 GB available space,  DirectX-compatible using the latest drivers","Early Access, Free to Play, Battle Royale, Shooter, Multiplayer, Survival, Massively Multiplayer, Action, Third-Person Shooter, Open World, Early Access, FPS, Co-op, PvP, First-Person, Tactical, Violent, Sandbox, Destruction, Gore"
15,Total War: THREE KINGDOMS,CREATIVE ASSEMBLY,,No user reviews,"Strategy, Historical, War, Grand Strategy, Turn-Based Strategy, RTS, Action, Military, Violent, Multiplayer, Singleplayer, Tactical, Co-op, Great Soundtrack, Fantasy, Hack and Slash, Isometric, Sandbox", 268,"23 May, 2019"," Windows 7 64 Bit,  i7-8550U 1.80GHz,  6 GB RAM,  Intel UHD Graphics 620,  Version 11,  60 GB available space","Strategy, Historical, War, Grand Strategy, Turn-Based Strategy, RTS, Action, Military, Violent, Multiplayer, Singleplayer, Tactical, Co-op, Great Soundtrack, Fantasy, Hack and Slash, Isometric, Sandbox"
16,Paper Dolls: Original / 纸人：第一章,"Beijing Litchi Culture Media Co., Ltd.",,No user reviews,"Adventure, Action, Indie, Thriller, Horror",,"19 Apr, 2019"," Windows 7 or Windows 10,  Intel i5-4460 or AMD FX-6300,  4 GB RAM,  NVIDIA GeForce GTX750Ti or AMD RadeonR7 260x,  Version 11,  3 GB available space,  DirectSound compatible（must support DirectX 9.0c or higher）","Adventure, Action, Indie, Thriller, Horror"
17,NBA 2K19,Visual Concepts,,"7,160","Sports, Basketball, Simulation, Multiplayer, Singleplayer, Open World", 199,"10 Sep, 2018"," Windows 7 64-bit, Windows 8.1 64-bit or Windows 10 64-bit,  Intel® Core™ i3-530 @ 2.93 GHz / AMD FX-4100 @ 3.60 GHz or better,  4 GB RAM,  NVIDIA® GeForce® GT 450 1GB / AMD® Radeon™ HD 7770 1GB or better,  Version 11,  80 GB available space,  DirectX 9.0x compatible ,  Recommended,  Initial installation requires one-time internet connection for Steam authentication; software installations required (included with the game) include DirectX and Visual C++ Redistributable 2012.","Sports, Basketball, Simulation, Multiplayer, Singleplayer, Open World"
18,"""Assassins Creed® Odyssey""",Ubisoft Quebec,Very Positive,"20,420","Open World, Action, RPG, Singleplayer, Adventure, Assassin, Historical, Sexual Content, Stealth, Third Person, Female Protagonist, Story Rich, Violent, Nudity, Parkour, Multiplayer, Choices Matter, Gore, Atmospheric, Great Soundtrack", 248,"6 Oct, 2018"," Windows 7 SP1, Windows 8.1, Windows 10 (64bit versions only),  AMD FX 6300 @ 3.8 GHz, Ryzen 3 - 1200, Intel Core i5 2400 @ 3.1 GHz (MORE DETAILS , ),  8 GB RAM,  AMD Radeon R9 285, NVIDIA GeForce GTX 660 (2GB VRAM with Shader Model 5.0) (MORE DETAILS , ),  Version 11,  46+ GB available space,  Video Preset: Lowest (720p)","Open World, Action, RPG, Singleplayer, Adventure, Assassin, Historical, Sexual Content, Stealth, Third Person, Female Protagonist, Story Rich, Violent, Nudity, Parkour, Multiplayer, Choices Matter, Gore, Atmospheric, Great Soundtrack"
19,MONSTER HUNTER: WORLD,"CAPCOM Co., Ltd.",,"60,412","Action, Hunting, Multiplayer, Open World, Co-op, RPG, Third Person, Adventure, Fantasy, Singleplayer, Character Customization, Action RPG, Difficult, Exploration, Great Soundtrack, Atmospheric, JRPG, Hack and Slash, Replay Value, Souls-like", 308,"10 Aug, 2018","Requires a 64-bit processor and operating system,  WINDOWS® 7, 8, 8.1, 10 (64-bit required),  Intel® Core™ i5-4460, 3.20GHz or AMD FX™-6300,  8 GB RAM,  NVIDIA® GeForce® GTX 760 or AMD Radeon™ R7 260x (VRAM 2GB),  Version 11,  Broadband Internet connection,  30 GB available space,  DirectSound (DirectX® 9.0c),  1080p/30fps when graphics settings are set to ""Low""","Action, Hunting, Multiplayer, Open World, Co-op, RPG, Third Person, Adventure, Fantasy, Singleplayer, Character Customization, Action RPG, Difficult, Exploration, Great Soundtrack, Atmospheric, JRPG, Hack and Slash, Replay Value, Souls-like"
20,Beholder 2,Warm Lamp Games,Very Positive,"1,017","Strategy, Adventure, Dystopian, Indie, Simulation, Singleplayer, Choices Matter, Atmospheric, Violent, Story Rich, Multiple Endings, Political",,"5 Dec, 2018"," Windows 7/8/10 (64-bit OS required),  Intel Core 2 Quad Q6600 @ 2.4 GHz, AMD FX 8120 @ 3.1 GHz,  4 GB RAM,  NVIDIA GT 630 / 650m, AMD Radeon HD6570 or equivalent,  Version 9.0c,  4 GB available space,  100% DirectX 9.0c compatible,  ADDITIONAL SYSTEM REQUIREMENTS: Loyalty to the System! Devotion to the State! Trust in the infallibility of the Wise Leader! Basic Bureaucracy skills.","Strategy, Adventure, Dystopian, Indie, Simulation, Singleplayer, Choices Matter, Atmospheric, Violent, Story Rich, Multiple Endings, Political"
21,Forager,HopFrog,Very Positive,No user reviews,"Adventure, Survival, Crafting, Pixel Graphics, Indie, 2D, Open World, Sandbox, Building, Simulation, Exploration, Action, Base Building, Singleplayer, RPG, Resource Management, Casual, Agriculture, Clicker, Great Soundtrack", 70,"19 Apr, 2019"," Windows XP and above,  1.2Ghz,  1024 MB RAM,  512MB,  200 MB available space","Adventure, Survival, Crafting, Pixel Graphics, Indie, 2D, Open World, Sandbox, Building, Simulation, Exploration, Action, Base Building, Singleplayer, RPG, Resource Management, Casual, Agriculture, Clicker, Great Soundtrack"
22,FOR HONOR™,Ubisoft Montreal,,"35,619","Medieval, Action, Swordplay, Multiplayer, PvP, Third Person, Fighting, War, Co-op, Singleplayer, Gore, Online Co-Op, Hack and Slash, Realistic, Strategy, Atmospheric, RPG, Fantasy, Story Rich, MOBA", 217,"14 Feb, 2017"," Windows 7, Windows 8.1, Windows 10 (64-bit versions only),  Intel Core i3-550 | AMD Phenom II X4 955 or equivalent,  4 GB RAM,  NVIDIA GeForce GTX660/GTX750ti/GTX950/GTX1050 with 2 GB VRAM or more | AMD Radeon HD6970/HD7870/R9 270/R9 370/RX460 with 2 GB VRAM or more,  Broadband Internet connection,  40 GB available space,  DirectX-Compatible using the latest drivers,  Mouse and Keyboard supported. Game contains EasyAntiCheat ,  anti-cheat technology and Denuvo ,  anti-tamper technology.","Medieval, Action, Swordplay, Multiplayer, PvP, Third Person, Fighting, War, Co-op, Singleplayer, Gore, Online Co-Op, Hack and Slash, Realistic, Strategy, Atmospheric, RPG, Fantasy, Story Rich, MOBA"
23,Sid Meier’s Civilization® VI,Firaxis Games,,"37,442","Strategy, Turn-Based Strategy, Historical, Multiplayer, Singleplayer, Turn-Based, Grand Strategy, 4X, War, Simulation, Tactical, Great Soundtrack, Moddable, Online Co-Op, Co-op, City Builder, Building, Management, Hex Grid, Atmospheric", 199,"21 Oct, 2016","Setzt 64-Bit-Prozessor und -Betriebssystem voraus,  Windows 7x64 / Windows 8.1x64 / Windows 10x64,  Intel Core i3 2.5 Ghz or AMD Phenom II 2.6 Ghz or greater,  4 GB RAM,  1 GB & AMD 5570 or nVidia 450 or Intel Integrated Graphics 530,  Version 11,  12 GB verfügbarer Speicherplatz,  DirectX Compatible Sound Device,  Initial installation requires one-time Internet connection for Steam authentication; software installations required (included with the game) include Steam Client, Microsoft Visual C++ 2012 and 2015 Runtime Libraries, and Microsoft DirectX. Internet connection and acceptance of Steam™ Subscriber Agreement required for activation. See ,  for details.","Strategy, Turn-Based Strategy, Historical, Multiplayer, Singleplayer, Turn-Based, Grand Strategy, 4X, War, Simulation, Tactical, Great Soundtrack, Moddable, Online Co-Op, Co-op, City Builder, Building, Management, Hex Grid, Atmospheric"
24,Counter-Strike: Global Offensive,Valve,Very Positive,"3,044,870","FPS, Multiplayer, Shooter, Action, Team-Based, Competitive, Tactical, First-Person, e-sports, PvP, Online Co-Op, Military, Co-op, Strategy, War, Trading, Difficult, Realistic, Fast-Paced, Moddable",Free to Play,"22 Aug, 2012"," Windows® 7/Vista/XP,  Intel® Core™ 2 Duo E6600 or AMD Phenom™ X3 8750 processor or better,  2 GB RAM,  Video card must be 256 MB or more and should be a DirectX 9-compatible with support for Pixel Shader 3.0,  Version 9.0c,  15 GB available space","FPS, Multiplayer, Shooter, Action, Team-Based, Competitive, Tactical, First-Person, e-sports, PvP, Online Co-Op, Military, Co-op, Strategy, War, Trading, Difficult, Realistic, Fast-Paced, Moddable"
25,Dota 2,Valve,Very Positive,"1,005,324","Free to Play, MOBA, Strategy, Multiplayer, Team-Based, Action, e-sports, Online Co-Op, Competitive, PvP, RTS, Difficult, RPG, Fantasy, Tower Defense, Co-op, Character Customization, Replay Value, Action RPG, Simulation",Free to Play,"9 Jul, 2013"," Windows 7 or newer,  Dual core from Intel or AMD at 2.8 GHz,  4 GB RAM,  nVidia GeForce 8600/9600GT, ATI/AMD Radeon HD2600/3600,  Version 9.0c,  Broadband Internet connection,  15 GB available space,  DirectX Compatible","Free to Play, MOBA, Strategy, Multiplayer, Team-Based, Action, e-sports, Online Co-Op, Competitive, PvP, RTS, Difficult, RPG, Fantasy, Tower Defense, Co-op, Character Customization, Replay Value, Action RPG, Simulation"
26,Dying Light,Techland,Very Positive,"59,897","Zombies, Survival, Open World, Parkour, Co-op, Multiplayer, Action, First-Person, Horror, Gore, Survival Horror, Crafting, FPS, Adventure, Atmospheric, Shooter, Singleplayer, RPG, Stealth, Sandbox", 221,"26 Jan, 2015"," Windows® 7 64-bit / Windows® 8 64-bit / Windows® 8.1 64-bit, \t,  Intel® Core™ i5-2500 @3.3 GHz / AMD FX-8320 @3.5 GHz, \t,  4 GB RAM DDR3, \t,  40 GB free space, \t,  NVIDIA® GeForce® GTX 560 / AMD Radeon™ HD 6870 (1GB VRAM),         ,  Version 11,         ,  DirectX® compatible,         ,  Laptop versions of graphics cards may work but are NOT officially supported., Windows-compatible keyboard, mouse, optional controller (Xbox 360 Controller for Windows recommended)","Zombies, Survival, Open World, Parkour, Co-op, Multiplayer, Action, First-Person, Horror, Gore, Survival Horror, Crafting, FPS, Adventure, Atmospheric, Shooter, Singleplayer, RPG, Stealth, Sandbox"
27,Mortal Kombat\xa011,NetherRealm Studios,,No user reviews,"Fighting, Gore, Violent, Action, Multiplayer, Blood, 2D Fighter, Story Rich, Singleplayer, Atmospheric, Great Soundtrack, Mature, Competitive, Local Multiplayer, Character Customization, Cute, 2.5D, Arcade, Horror, Sexual Content", 163,"24 Apr, 2019"," 64-bit Windows 7 / Windows 10,  Intel Core i5-750, 2.66 GHz / AMD Phenom II X4 965, 3.4 GHz or AMD Ryzen™ 3 1200, 3.1 GHz,  8 GB RAM,  NVIDIA® GeForce™ GTX 670 or NVIDIA® GeForce™ GTX 1050 / AMD® Radeon™ HD 7950 or AMD® Radeon™ R9 270,  Version 11,  Broadband Internet connection","Fighting, Gore, Violent, Action, Multiplayer, Blood, 2D Fighter, Story Rich, Singleplayer, Atmospheric, Great Soundtrack, Mature, Competitive, Local Multiplayer, Character Customization, Cute, 2.5D, Arcade, Horror, Sexual Content"
28,Warframe,Digital Extremes,Very Positive,"246,698","Free to Play, Action, Co-op, Multiplayer, Third-Person Shooter, Sci-fi, Ninja, Shooter, Parkour, Space, Online Co-Op, Futuristic, Third Person, Massively Multiplayer, PvE, RPG, Singleplayer, Hack and Slash, FPS, Cyberpunk",Free to Play,"26 Mar, 2013","Windows 7 64-Bit (32-bit not supported), \t, Intel Core 2 Duo e6400 or AMD Athlon x64 4000+,         , DirectX 10+ capable Graphics Card, \t, 4 GB RAM, \t, 35 GB available HD space , \t, Broadband Internet Connection Required","Free to Play, Action, Co-op, Multiplayer, Third-Person Shooter, Sci-fi, Ninja, Shooter, Parkour, Space, Online Co-Op, Futuristic, Third Person, Massively Multiplayer, PvE, RPG, Singleplayer, Hack and Slash, FPS, Cyberpunk"
29,Sekiro™: Shadows Die Twice,FromSoftware,Very Positive,No user reviews,"Action, Souls-like, Difficult, Singleplayer, Ninja, Stealth, Adventure, Violent, Third Person, Atmospheric, Dark Fantasy, Funny, Assassin, Open World, Story Rich, Great Soundtrack, Gore, Dark, Hack and Slash, RPG", 268,"22 Mar, 2019"," Windows 7 64-bit | Windows 8 64-bit | Windows 10 64-bit,  Intel Core i3-2100 | AMD FX-6300,  4 GB RAM,  NVIDIA GeForce GTX 760 | AMD Radeon HD 7950,  Version 11,  Broadband Internet connection,  25 GB available space,  DirectX 11 Compatible","Action, Souls-like, Difficult, Singleplayer, Ninja, Stealth, Adventure, Violent, Third Person, Atmospheric, Dark Fantasy, Funny, Assassin, Open World, Story Rich, Great Soundtrack, Gore, Dark, Hack and Slash, RPG"
30,Grand Theft Auto V,Rockstar North,Mostly Positive,"401,711","Open World, Action, Multiplayer, Third Person, First-Person, Crime, Shooter, Adventure, Third-Person Shooter, Singleplayer, Mature, Racing, Atmospheric, Sandbox, Co-op, Funny, Great Soundtrack, Comedy, Moddable, RPG", 119,"14 Apr, 2015","Vyžaduje 64bitový procesor a operační systém,  Windows 10 64 Bit, Windows 8.1 64 Bit, Windows 8 64 Bit, Windows 7 64 Bit Service Pack 1,  Intel Core 2 Quad CPU Q6600 @ 2.40GHz (4 CPUs) / AMD Phenom 9850 Quad-Core Processor (4 CPUs) @ 2.5GHz,  4 GB RAM,  NVIDIA 9800 GT 1GB / AMD HD 4870 1GB (DX 10, 10.1, 11),  72 GB volného místa,  100% DirectX 10 compatible,  Over time downloadable content and programming changes will change the system requirements for this game.  Please refer to your hardware manufacturer and ,  for current compatibility information. Some system components such as mobile chipsets, integrated, and AGP graphics cards may be incompatible. Unlisted specifications may not be supported by publisher.     Other requirements:  Installation and online play requires log-in to Rockstar Games Social Club (13+) network; internet connection required for activation, online play, and periodic entitlement verification; software installations required including Rockstar Games Social Club platform, DirectX , Chromium, and Microsoft Visual C++ 2008 sp1 Redistributable Package, and authentication software that recognizes certain hardware attributes for entitlement, digital rights management, system, and other support purposes.     SINGLE USE SERIAL CODE REGISTRATION VIA INTERNET REQUIRED; REGISTRATION IS LIMITED TO ONE ROCKSTAR GAMES SOCIAL CLUB ACCOUNT (13+) PER SERIAL CODE; ONLY ONE PC LOG-IN ALLOWED PER SOCIAL CLUB ACCOUNT AT ANY TIME; SERIAL CODE(S) ARE NON-TRANSFERABLE ONCE USED; SOCIAL CLUB ACCOUNTS ARE NON-TRANSFERABLE.  Partner Requirements:  Please check the terms of service of this site before purchasing this software.","Open World, Action, Multiplayer, Third Person, First-Person, Crime, Shooter, Adventure, Third-Person Shooter, Singleplayer, Mature, Racing, Atmospheric, Sandbox, Co-op, Funny, Great Soundtrack, Comedy, Moddable, RPG"
